Id,Property_Title,Location,Description,Link,Bedrooms,Bathrooms,Parking_Spaces,Erf_Size,Agency,Price
83,12 Bedroom House,Extension 9,Discover an exceptional investment opportunity in the heart of Extension 9! This,https://www.property24.co.bw/12-bedroom-house-for-sale-in-extension-9-114626734,12.0,12.0,12.0,1 393 m²,Property24,P 6 700 000
84,3 Bedroom House,Broadhurst,"Elegant Tapologo Estate Family Home with Guest Cottage
Plot:                     1",https://www.property24.co.bw/3-bedroom-house-for-sale-in-broadhurst-114623922,3.0,2.5,2.5,1 380 m²,Property24,P 3 699 000
85,3 Bedroom House,Broadhurst,"Elegant Tapologo Estate Family Home with Guest Cottage
Plot:                     1",https://www.property24.co.bw/3-bedroom-house-for-sale-in-broadhurst-114623922,3.0,2.5,2.5,1 380 m²,Property24,P 3 699 000
86,4 Bedroom House,Phakalane,"For Sale: Stunning Newly built Home in Thobo Hamlet, Phakalane P6,5mil

Price: P6,500,000",https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-114623747,4.0,4.5,4.5,820 m²,Property24,P 6 500 000
87,4 Bedroom House,Phakalane,"For Sale: Stunning Newly built Home in Thobo Hamlet, Phakalane P6,5mil

Price: P6,500,000",https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-114623747,4.0,4.5,4.5,820 m²,Property24,P 6 500 000
88,3 Bedroom House,Broadhurst,"GK5822
This thatched 3 bedroom home offers a rustic appeal, 2 ensuite bathrooms, an area as",https://www.property24.co.bw/3-bedroom-house-for-sale-in-broadhurst-114640134,3.0,2.0,2.0,1 358 m²,Property24,P 2 950 000
89,3 Bedroom House,Broadhurst,"GK5822
This thatched 3 bedroom home offers a rustic appeal, 2 ensuite bathrooms, an area as",https://www.property24.co.bw/3-bedroom-house-for-sale-in-broadhurst-114640134,3.0,2.0,2.0,1 358 m²,Property24,P 2 950 000
90,3 Bedroom House,Block 8,"BLOCK 8 - Newly upgraded 3 bedroom, 2 bathroom home with great open plan living room",https://www.property24.co.bw/3-bedroom-house-for-sale-in-block-8-114698854,3.0,2.0,2.0,401 m²,Property24,P 1 500 000
91,3 Bedroom House,Block 8,"BLOCK 8 - Newly upgraded 3 bedroom, 2 bathroom home with great open plan living room",https://www.property24.co.bw/3-bedroom-house-for-sale-in-block-8-114698854,3.0,2.0,2.0,401 m²,Property24,P 1 500 000
92,House,Tsholofelo,"Multi Residential For Sale
Location: Tsholofelo
Plot size: 419sqm
Price:",https://www.property24.co.bw/house-for-sale-in-tsholofelo-114728255,,,,,Property24,P 750 000
93,House,Tsholofelo,"Multi Residential For Sale
Location: Tsholofelo
Plot size: 419sqm
Price:",https://www.property24.co.bw/house-for-sale-in-tsholofelo-114728255,,,,,Property24,P 750 000
94,3 Bedroom Townhouse,Block 5,Discover urban comfort and security in this inviting 3-bedroom townhouse nestled with in a,https://www.property24.co.bw/3-bedroom-townhouse-for-sale-in-block-5-114565125,3.0,1.5,1.5,150 m²,Property24,P 1 700 000
95,3 Bedroom Townhouse,Block 5,Discover urban comfort and security in this inviting 3-bedroom townhouse nestled with in a,https://www.property24.co.bw/3-bedroom-townhouse-for-sale-in-block-5-114565125,3.0,1.5,1.5,150 m²,Property24,P 1 700 000
96,4 Bedroom House,Phakalane,This spacious home is situated on a large plot of 1341m2 in a good neighborhood of,https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-114577772,4.0,3.0,3.0,1 341 m²,Property24,P 5 600 000
97,4 Bedroom House,Phakalane,This spacious home is situated on a large plot of 1341m2 in a good neighborhood of,https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-114577772,4.0,3.0,3.0,1 341 m²,Property24,P 5 600 000
98,Vacant Land / Plot,Gaborone North,Vacant freehold plots ranging from 709 m2-800m2 for sale in Gaborone North. Plots are,https://www.property24.co.bw/vacant-land-plot-for-sale-in-gaborone-north-113100994,,,,800 m²,Property24,P 440 000
99,Vacant Land / Plot,Gaborone North,Vacant freehold plots ranging from 709 m2-800m2 for sale in Gaborone North. Plots are,https://www.property24.co.bw/vacant-land-plot-for-sale-in-gaborone-north-113100994,,,,800 m²,Property24,P 440 000
100,Commercial Property,Village,"CTL876
This well established, licensed guest house is located in lovely, upmarket area of",https://www.property24.co.bw/commercial-property-for-sale-in-village-114566433,,,,,Property24,P 4 950 000
101,Commercial Property,Village,"CTL876
This well established, licensed guest house is located in lovely, upmarket area of",https://www.property24.co.bw/commercial-property-for-sale-in-village-114566433,,,,,Property24,P 4 950 000
102,2 Bedroom House,Gaborone,MOKOLODI - LESETHANENG WARD: This 2-bedroom house is immaculate and in a very good,https://www.property24.co.bw/2-bedroom-house-for-sale-in-gaborone-114651270,2.0,1.0,1.0,900 m²,Property24,P 850 000
103,2 Bedroom House,Gaborone,MOKOLODI - LESETHANENG WARD: This 2-bedroom house is immaculate and in a very good,https://www.property24.co.bw/2-bedroom-house-for-sale-in-gaborone-114651270,2.0,1.0,1.0,900 m²,Property24,P 850 000
104,3 Bedroom House,Broadhurst,"A well maintained 3beds (ensuite plus airconditioned) common bath&toilet, guest toilet,",https://www.property24.co.bw/3-bedroom-house-for-sale-in-broadhurst-114716591,3.0,2.0,2.0,513 m²,Property24,P 1 400 000
105,3 Bedroom House,Broadhurst,"A well maintained 3beds (ensuite plus airconditioned) common bath&toilet, guest toilet,",https://www.property24.co.bw/3-bedroom-house-for-sale-in-broadhurst-114716591,3.0,2.0,2.0,513 m²,Property24,P 1 400 000
106,3 Bedroom Townhouse,Kgale,"KGALE MANOR ESTATE - A popular and sought after gated estate features this 3 bedroom, 2",https://www.property24.co.bw/3-bedroom-townhouse-for-sale-in-kgale-114595298,3.0,2.0,2.0,409 m²,Property24,P 2 250 000
107,3 Bedroom Townhouse,Kgale,"KGALE MANOR ESTATE - A popular and sought after gated estate features this 3 bedroom, 2",https://www.property24.co.bw/3-bedroom-townhouse-for-sale-in-kgale-114595298,3.0,2.0,2.0,409 m²,Property24,P 2 250 000
108,4 Bedroom House,Phakalane,"This family home offers a sanctuary for those seeking peace and comfort, nestled in one of",https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-114666606,4.0,4.5,4.5,,Property24,P 2 600 000
109,4 Bedroom House,Phakalane,"This family home offers a sanctuary for those seeking peace and comfort, nestled in one of",https://www.property24.co.bw/4-bedroom-house-for-sale-in-phakalane-114666606,4.0,4.5,4.5,,Property24,P 2 600 000
110,3 Bedroom House,Gaborone,"This lovingly maintained home consists of a clean, modern and spacious open plan living",https://www.property24.co.bw/3-bedroom-house-for-sale-in-gaborone-114567532,3.0,2.0,2.0,452 m²,Property24,P 2 200 000
111,3 Bedroom House,Gaborone,"This lovingly maintained home consists of a clean, modern and spacious open plan living",https://www.property24.co.bw/3-bedroom-house-for-sale-in-gaborone-114567532,3.0,2.0,2.0,452 m²,Property24,P 2 200 000
112,3 Bedroom Apartment / Flat,Extension 10,Invest in this new development in extension 10 close to UB. A small complex of 15 units,https://www.property24.co.bw/3-bedroom-apartment-flat-for-sale-in-extension-10-114585850,3.0,2.0,2.0,,Property24,P 1 650 000
113,3 Bedroom Apartment / Flat,Extension 10,Invest in this new development in extension 10 close to UB. A small complex of 15 units,https://www.property24.co.bw/3-bedroom-apartment-flat-for-sale-in-extension-10-114585850,3.0,2.0,2.0,,Property24,P 1 650 000
114,3 Bedroom Townhouse,Block 8,"Discover modern living in this 3-bedroom, 2-bathroom townhouse in Louieville Horizons,",https://www.property24.co.bw/3-bedroom-townhouse-for-sale-in-block-8-114526050,3.0,2.0,2.0,38 000 m²,Property24,P 1 700 000
115,3 Bedroom Townhouse,Block 8,"Discover modern living in this 3-bedroom, 2-bathroom townhouse in Louieville Horizons,",https://www.property24.co.bw/3-bedroom-townhouse-for-sale-in-block-8-114526050,3.0,2.0,2.0,38 000 m²,Property24,P 1 700 000
116,Vacant Land / Plot,Gaborone North,"30 Freehold plots available for sale in Gaborone 
Features:
*Filling Station
*Shopping",https://www.property24.co.bw/vacant-land-plot-for-sale-in-gaborone-north-114619176,,,,,Property24,P 442 000
117,Vacant Land / Plot,Gaborone North,"30 Freehold plots available for sale in Gaborone 
Features:
*Filling Station
*Shopping",https://www.property24.co.bw/vacant-land-plot-for-sale-in-gaborone-north-114619176,,,,,Property24,P 442 000
118,3 Bedroom House,Broadhurst,"A well maintained 3beds (ensuite plus airconditioned) common bath&toilet, guest toilet,",https://www.property24.co.bw/3-bedroom-house-for-sale-in-broadhurst-101736925,3.0,2.0,2.0,513 m²,Property24,P 1 400 000
