Title,Erf_Size,No_Of_Bedrooms,No_Of_Bathrooms,No_Of_Garages,Price
5 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1 200
                    </span>",5,3,2,P 4 600 000
3 Bedroom House for sale in Block 9,"<span class=""sizeUnits"">
                        450
                    </span>",3,1,Erf Size:450m²,P 850 000
4 Bedroom House for sale in Mokolodi 2,"<span class=""sizeUnits"">
                        1
                    </span>",4,4,2,P 4 300 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1 375
                    </span>",4,2,2,P 3 000 000
3 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        859
                    </span>",3,2,Erf Size:859m²,P 1 820 000
1 Bedroom House for sale in Gaborone Central,"<span class=""sizeUnits"">
                        900
                    </span>",1,1,,P 510 000
3 Bedroom House for sale in Village,"<span class=""sizeUnits"">
                        1 000
                    </span>",3,2,3,P 3 900 000
5 Bedroom House for sale in Broadhurst,"<span class=""sizeUnits"">
                        1 387
                    </span>",5,5,2,P 2 700 000
3 Bedroom House for sale in Block 10,"<span class=""sizeUnits"">
                        437
                    </span>",3,2,1,P 1 600 000
1 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        897
                    </span>",1,1,Erf Size:897m²,P 2 000 000
3 Bedroom House for sale in Gaborone Central,"<span class=""sizeUnits"">
                        510
                    </span>",3,3,2,P 1 850 000
3 Bedroom House for sale in Block 9,"<span class=""sizeUnits"">
                        450
                    </span>",3,1,Erf Size:450m²,P 850 000
3 Bedroom House for sale in Gaborone Central,,3,N/A,N/A,P 1 300 000
2 Bedroom House for sale in Block 10,"<span class=""sizeUnits"">
                        312
                    </span>",2,1,Erf Size:312m²,P 1 280 000
4 Bedroom House for sale in Gaborone,,4,N/A,N/A,P 1 600 000
4 Bedroom House for sale in Tsholofelo,"<span class=""sizeUnits"">
                        450
                    </span>",4,4,2,P 1 650 000
House for sale in Gaborone Central,,0,N/A,N/A,P 80 000
9 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        405
                    </span>",9,1,Erf Size:405m²,P 800 000
4 Bedroom House for sale in Gaborone Central,,4,4,2,P 3 800 000
4 Bedroom House for sale in Gaborone West Phase 1,"<span class=""sizeUnits"">
                        392
                    </span>",4,1,2,P 1 400 000
3 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        500
                    </span>",3,2,1,P 750 000
3 Bedroom House for sale in Maruapula,"<span class=""sizeUnits"">
                        450
                    </span>",3,1,Erf Size:450m²,P 620 000
4 Bedroom House for sale in Tsholofelo East,,4,N/A,N/A,P 2 000 000
3 Bedroom House for sale in Block 7,"<span class=""sizeUnits"">
                        300
                    </span>",3,2,,P 850 000
4 Bedroom House for sale in Tsholofelo,,4,2,,P 1 450 000
3 Bedroom House for sale in Tsholofelo,,3,1,N/A,P 1 250 000
4 Bedroom House for sale in Block 10,,4,N/A,N/A,P 2 400 000
3 Bedroom House for sale in Tsholofelo East,"<span class=""sizeUnits"">
                        308
                    </span>",3,,Erf Size:308m²,P 1 250 000
House for sale in Gaborone Central,,0,N/A,N/A,P 180 000
3 Bedroom House for sale in Tsholofelo,,3,N/A,N/A,P 1 250 000
7 Bedroom House for sale in Block 10,"<span class=""sizeUnits"">
                        600
                    </span>",7,Erf Size:600m²,600,P 3 300 000
3 Bedroom House for sale in Tsholofelo,,3,N/A,N/A,P 1 250 000
3 Bedroom House for sale in Tsholofelo East,,3,N/A,N/A,P 1 250 000
7 Bedroom House for sale in Block 10,"<span class=""sizeUnits"">
                        600
                    </span>",7,7,7,P 3 300 000
4 Bedroom House for sale in Tsholofelo East,"<span class=""sizeUnits"">
                        540
                    </span>",4,4,1,P 2 000 000
